192.168.0.107,151.101.2.2,6,1580284478.720387000,1,
151.101.2.2,192.168.0.107,6,1580284478.725093000,0,
192.168.0.1,239.255.255.250,17,1580284479.163188000,,272
192.168.0.1,239.255.255.250,17,1580284479.265594000,,281
192.168.0.1,239.255.255.250,17,1580284479.368034000,,344
192.168.0.1,239.255.255.250,17,1580284479.470414000,,336
192.168.0.1,239.255.255.250,17,1580284479.572812000,,281
192.168.0.1,239.255.255.250,17,1580284479.675265000,,320
192.168.0.1,239.255.255.250,17,1580284479.777658000,,352
192.168.0.1,239.255.255.250,17,1580284479.880229000,,281
192.168.0.1,239.255.255.250,17,1580284479.982700000,,340
192.168.0.1,239.255.255.250,17,1580284480.084802000,,334
192.168.0.107,8.8.8.8,17,1580284480.096600000,,52
8.8.8.8,192.168.0.107,17,1580284480.120386000,,120
192.168.0.107,8.8.8.8,17,1580284480.122166000,,52
8.8.8.8,192.168.0.107,17,1580284480.126598000,,98
192.168.0.107,8.8.8.8,17,1580284480.128157000,,51
8.8.8.8,192.168.0.107,17,1580284480.133515000,,111
192.168.0.107,151.101.2.49,17,1580284480.133992000,,58
192.168.0.1,239.255.255.250,17,1580284480.187318000,,281
192.168.0.1,239.255.255.250,17,1580284480.289673000,,336
192.168.0.1,239.255.255.250,17,1580284480.392022000,,346
172.217.194.189,192.168.0.107,17,1580284481.011080000,,48
172.217.194.189,192.168.0.107,17,1580284481.012761000,,26
192.168.0.107,172.217.194.189,17,1580284481.028236000,,37
,,,1580284481.213305000,,90
192.168.0.107,151.101.2.49,17,1580284481.634473000,,58
192.168.0.107,52.20.172.27,6,1580284481.735970000,448,
192.168.0.107,52.20.172.27,6,1580284481.736106000,46,
